"chr1"	"gene1"	"pos1"	"strand1"	"chr2"	"gene2"	"pos2"	"strand2"	"fusion_type"	"num"	"score"	"gap"	"don_dist"	"acc_dist"	"mapq"	"badfj3"	"jct_ind"	"genome"	"genome.anomaly"	"genome.pval"	"reg"	"reg.anomaly"	"reg.pval"	"junc"	"junc.anom"	"junc.pval"	"FarJunc"	"FarJunc.anom"	"FarJunc.pval"	"unaligned"	"NoPartner"	"NetPValue"	"X_1NoIndels.Indels"	"X_2NoIndels.Indels"	"BadFJ.1"	"BadFJv2.1"	"ExonL"	"ExonR"	"numReads.x"	"logsum_2.x"	"productPhat_lower.x"	"productPhat.x"	"junction_cdf.x"	"junction_cdf_lower.x"	"numReads.y"	"logsum_2.y"	"productPhat_lower.y"	"productPhat.y"	"junction_cdf.y"	"junction_cdf_lower.y"	"junction_cdf_windel_diff"	"emp_p"
"chr1"	"ZNF436"	23688188	"-"	"chr1"	"ZNF436"	23688153	"-"	"no_fusion-niether_local-intrachrom_minus_rev"	4	0	"-34"	2247	-1561	0	"False"	27522	5	0	"0.99926338006"	0	0	"-"	0	0	"-"	0	0	"-"	0	0	0.99926338006	"2:0"	"3:0"	0	0	7	7	"2"	"-0.0856863943730925"	"0.917882039061"	"0.986890093402586"	"0.358"	"0.224"	2	-0.0856863943730925	0.917882039061	0.986890093402586	0.375	0.214	0	0.0173053152039555
"chr15"	"SLC28A1"	85438319	"+"	"chr15"	"SLC28A1"	85448833	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	2	0	"-34"	-35	63	0	"False"	11855	5	0	"0.74862807316"	9	0	"0.039371807387"	0	0	"-"	0	3	"-"	2	3	0.244865909508	"13:0"	"12:0"	0	0	49	49	"10"	"-4.34798092408128"	"0.0129328987410558"	"0.369650150344115"	"0.512"	"0.274"	10	-4.34798092408128	0.0129328987410558	0.369650150344115	0.479	0.262	0	0.0123609394313968
"chr10"	"CDHR1"	85973067	"+"	"chr10"	"CDHR1"	85973875	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	24	0.00822368421053	"-36"	-37	37	0	"False"	733	243	0	"0.999999999038"	2	0	"0.191502218689"	0	0	"-"	0	0	"-"	3	1	0.999999998965	"139:0"	"110:0"	0	0	658	658	"197"	"-113.18046443883"	"7.02018949225959e-50"	"2.47777619620085e-21"	"0.747168549022474"	"0.00326322544801852"	197	-113.18046443883	7.02018949225959e-50	2.47777619620085e-21	0.747168549022474	0.00326322544801852	0	0.00247218788627936
"chr2"	"VSNL1"	17722942	"+"	"chr2"	"VSNL1"	17773342	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	4	0	"-10"	757	5	0	"False"	34654	3	0	"0.308332346605"	4	0	"0.406544799922"	0	0	"-"	0	0	"-"	0	0	0.355203008001	"5:0"	"2:0"	0	0	16	16	"3"	"-0.4634978833545"	"0.629079346389436"	"0.900358018425377"	"0.324"	"0.233"	3	-0.4634978833545	0.629079346389436	0.900358018425377	0.285	0.205	0	0.0222496909765142
"chr7"	"BBS9"	33245739	"+"	"chr7"	"BBS9"	33296856	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	7	0.00189393939394	"-32"	28536	8	0	"False"	50957	6	0	"0.217615528274"	9	0	"0.100428714898"	0	0	"-"	0	0	"-"	1	0	0.0931304178479	"8:0"	"8:0"	0	0	61	61	"9"	"-1.36977981294268"	"0.254162916776772"	"0.888000674899749"	"0.666"	"0.429"	9	-1.36977981294268	0.254162916776772	0.888000674899749	0.661	0.403	0	0.00370828182941904
"chr4"	"RBPJ"	26432536	"+"	"chr4"	"RBPJ"	26433125	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	103	0.0131752305665	"0"	392	811	0	"True"	42154	17	0	"0.391733069403"	0	0	"-"	0	0	"-"	0	57	"-"	7	0	0.391733069403	"72:0"	"60:0"	0	0	71	71	"4"	"-0.142858216194318"	"0.866876969298405"	"0.977480857389882"	"0.534"	"0.379"	4	-0.142858216194318	0.866876969298405	0.977480857389882	0.525	0.353	0	0.0111248454882571
"chr17"	"SPATA20"	48625308	"+"	"chr17"	"SPATA20"	48625646	"+"	"no_fusion-acceptor_local-intrachrom_plus_reg"	2	0	"-10"	180	2	0	"False"	18553	5	0	"0.00393028387501"	0	0	"-"	0	0	"-"	0	2	"-"	1	0	0.00393028387501	"4:0"	"5:0"	0	0	31	31	"5"	"-2.83203451771836"	"0.0588929130251015"	"0.693722685146461"	"0.366"	"0.181"	5	-2.83203451771836	0.0588929130251015	0.693722685146461	0.351	0.182	0	0.0185414091470952
"chr2"	"TMEM163"	135308173	"-"	"chr2"	"TMEM163"	135300793	"-"	"no_fusion-niether_local-intrachrom_minus_rev"	4	0	"-35"	32	-7439	0	"False"	34159	6	0	"0.288678972456"	5	0	"5.09935752901e-06"	0	0	"-"	0	3	"-"	4	5	0.00212386885184	"12:0"	"12:0"	0	0	36	36	"10"	"-8.71729885517914"	"0.000163728849495229"	"0.284883969451517"	"0.485"	"0.114"	10	-8.71729885517914	0.000163728849495229	0.284883969451517	0.448	0.092	0	0.0148331273176761
"chr2"	"MARCH7"	160569138	"+"	"chr2"	"MARCH7"	160585519	"+"	"no_fusion-acceptor_local-intrachrom_plus_reg"	3	0	"-34"	21	-1	0	"False"	34373	15	0	"0.0168440349464"	2	0	"0.361728992262"	0	0	"-"	0	1	"-"	1	0	0.0198469582615	"8:0"	"11:0"	0	0	36	36	"15"	"-8.08298629260271"	"0.000308747646537203"	"0.0142740960811603"	"0.377"	"0.19"	15	-8.08298629260271	0.000308747646537203	0.0142740960811603	0.407	0.196	0	0.0173053152039555
"chr10"	"ZFYVE27"	99512606	"+"	"chr10"	"ZFYVE27"	99512794	"+"	"no_fusion-acceptor_local-intrachrom_plus_reg"	4	0	"-27"	-28	-1	0	"False"	1194	9	0	"0.210724573052"	5	0	"0.769319156447"	0	0	"-"	0	0	"-"	0	1	0.387188840602	"6:0"	"9:0"	0	0	328	328	"11"	"-0.928649409269834"	"0.395086950969229"	"0.81184397150208"	"0.702"	"0.55"	11	-0.928649409269834	0.395086950969229	0.81184397150208	0.687	0.517	0	0.00370828182941904
"chr18"	"WDR7"	54665256	"+"	"chr18"	"WDR7"	54694235	"+"	"no_fusion-acceptor_local-intrachrom_plus_reg"	2	0	"0"	-22824	0	0	"True"	18755	3	0	"8.09855913202e-05"	3	0	"0.0916104906217"	0	0	"-"	0	0	"-"	0	0	0.00020635660422	"1:0"	"5:0"	0	0	77	77	"4"	"-2.68569186915165"	"0.0681740101810987"	"0.649251230794048"	"0.293"	"0.15"	4	-2.68569186915165	0.0681740101810987	0.649251230794048	0.279	0.15	0	0.0222496909765142
"chrX"	"PORCN"	48368089	"+"	"chrX"	"PORCN"	48368284	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	5	0.00440528634361	"-10"	-255	112	0	"False"	57575	14	0	"0.554656763799"	1	0	"0.0195330175856"	0	0	"-"	0	0	"-"	1	1	0.464823196557	"9:0"	"8:0"	0	0	59	59	"10"	"-9.51126662202878"	"7.40132355456234e-05"	"0.0141965218598341"	"0.278"	"0.099"	10	-9.51126662202878	7.40132355456234e-05	0.0141965218598341	0.266	0.084	0	0.0234857849196539
"chr14"	"MTA1"	105935827	"+"	"chr14"	"MTA1"	105936179	"+"	"no_fusion-acceptor_local-intrachrom_plus_reg"	3	0	"-10"	-8	1	0	"False"	10344	9	0	"0.552947602802"	4	0	"0.725508958006"	0	0	"-"	0	0	"-"	0	0	0.686790007923	"6:0"	"7:0"	0	0	240	240	"10"	"-7.84136728770136"	"0.000393131149627077"	"0.104553623687476"	"0.386"	"0.136"	10	-7.84136728770136	0.000393131149627077	0.104553623687476	0.377	0.117	0	0.0173053152039555
"chr13"	"PIBF1"	73573136	"+"	"chr13"	"KLF5"	73636001	"+"	"no_fusion-acceptor_local-intrachrom_plus_reg"	2	0	"-27"	3	2	0	"False"	8511	4	0	"0.167396430686"	1	0	"0.196190073073"	0	0	"-"	0	0	"-"	0	1	0.150785757909	"2:0"	"4:0"	0	0	17	11	"4"	"-2.23739087573691"	"0.106736630521094"	"0.624976667240889"	"0.287"	"0.168"	4	-2.23739087573691	0.106736630521094	0.624976667240889	0.273	0.163	0	0.0234857849196539
"chr1"	"MACF1"	39681067	"+"	"chr1"	"MACF1"	39696853	"+"	"no_fusion-acceptor_local-intrachrom_plus_reg"	2	0	"-34"	-15848	-1	0	"False"	28435	7	0	"0.017855579128"	4	0	"0.406544799922"	0	0	"-"	0	0	"-"	1	2	0.0311267845387	"10:0"	"4:0"	0	0	152	152	"9"	"-1.72526951308384"	"0.178125038274682"	"0.637093114296142"	"0.541"	"0.393"	9	-1.72526951308384	0.178125038274682	0.637093114296142	0.526	0.378	0	0.00988875154511743
"chrX"	"MTMR1"	149867776	"+"	"chrX"	"MTMR1"	149881419	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	3	0	"-25"	3	-5678	0	"False"	56788	7	0	"0.466578291339"	3	0	"0.17671263917"	0	0	"-"	1	1	"0.0681777140242"	1	0	0.267385032377	"6:0"	"8:0"	0	0	11	11	"6"	"-0.513586620526205"	"0.59834568677152"	"0.947497963717991"	"0.591"	"0.394"	6	-0.513586620526205	0.59834568677152	0.947497963717991	0.57	0.373	0	0.00494437577255871
"chr22"	"ALG12"	50303576	"-"	"chr22"	"ALG12"	50301564	"-"	"no_fusion-niether_local-intrachrom_minus_rev"	5	0	"-33"	34	-28	0	"False"	31334	2	0	"0.567083051673"	4	0	"0.406544799922"	0	0	"-"	0	0	"-"	0	0	0.556574217341	"1:0"	"5:0"	0	0	13	13	"6"	"-6.74677087773216"	"0.0011746666453396"	"0.0529771425875131"	"0.203"	"0.092"	6	-6.74677087773216	0.0011746666453396	0.0529771425875131	0.208	0.081	0	0.0321384425216316
"chr7"	"FOXK1"	4729925	"+"	"chr7"	"FOXK1"	4780470	"+"	"no_fusion-acceptor_local-intrachrom_plus_reg"	3	0	"-35"	7426	1	0	"False"	51308	32	0	"0.948339564685"	4	0	"0.567083051673"	0	0	"-"	0	0	"-"	1	0	0.963627564961	"20:0"	"17:0"	0	0	91	91	"33"	"-19.3425793595724"	"3.97763124432873e-09"	"0.00046276386921578"	"0.620333906017472"	"0.122711745369754"	33	-19.3425793595724	3.97763124432873e-09	0.00046276386921578	0.620333906017472	0.122711745369754	0	0.00370828182941904
"chr7"	"AHR"	17383468	"+"	"chr7"	"AHR"	17384875	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	3	0	"-10"	-2307	2330	0	"False"	50603	9	0	"0.0020625007732"	0	0	"-"	0	0	"-"	0	0	"-"	0	0	0.0020625007732	"2:0"	"7:0"	0	0	17	17	"6"	"-3.50630639132766"	"0.0300075461286781"	"0.497510578902689"	"0.361"	"0.189"	6	-3.50630639132766	0.0300075461286781	0.497510578902689	0.347	0.179	0	0.0185414091470952
"chr15"	"SNRPN"	25165661	"+"	"chr15"	"SNRPN"	25207259	"+"	"no_fusion-acceptor_local-intrachrom_plus_reg"	5	0	"-32"	390	-2	0	"False"	12221	21	0	"0.0598216696661"	0	0	"-"	0	0	"-"	0	0	"-"	0	1	0.0598216696661	"14:0"	"8:0"	0	0	266	266	"16"	"-14.0735843494151"	"7.72538223287277e-07"	"0.000113643738891528"	"0.225024217894264"	"0.048720235528715"	16	-14.0735843494151	7.72538223287277e-07	0.000113643738891528	0.225024217894264	0.048720235528715	0	0.0284301606922126
"chr19"	"SPPL2B"	2340011	"+"	"chr19"	"SPPL2B"	2340893	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	5	0	"-35"	46	-3	0	"False"	21221	49	0	"0.00115344802446"	1	0	"0.196190073073"	0	0	"-"	0	0	"-"	0	3	0.00107208180484	"30:0"	"23:0"	0	0	316	316	"43"	"-22.478072785517"	"1.72940625504235e-10"	"3.26238338470521e-07"	"0.423140786919478"	"0.15259145490037"	43	-22.478072785517	1.72940625504235e-10	3.26238338470521e-07	0.423140786919478	0.15259145490037	0	0.0160692212608158
"chr1"	"NFIA"	61923342	"+"	"chr1"	"NFIA"	61923365	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	3	0.00446428571429	"-27"	-5118	2390	0	"False"	22872	10	0	"0.279975995725"	0	0	"-"	0	0	"-"	0	0	"-"	0	0	0.279975995725	"6:0"	"4:0"	0	0	27	27	"7"	"-7.42817783417811"	"0.000594269383292741"	"0.0696072976218211"	"0.252"	"0.101"	7	-7.42817783417811	0.000594269383292741	0.0696072976218211	0.245	0.086	0	0.0247218788627936
"chr17"	"HEXDC"	80397590	"+"	"chr17"	"HEXDC"	80399029	"+"	"no_fusion-donor_local-intrachrom_plus_reg"	3	0	"0"	1	156	0	"True"	16551	6	0	"0.460206474357"	2	0	"0.361728992262"	0	0	"-"	0	0	"-"	0	0	0.466578291339	"3:0"	"5:0"	0	0	109	109	"5"	"-3.05727610444789"	"0.0470155865066249"	"0.283717706424467"	"0.265"	"0.175"	5	-3.05727610444789	0.0470155865066249	0.283717706424467	0.253	0.173	0	0.0234857849196539
"chr12"	"LRP1"	57559992	"+"	"chr12"	"LRP1"	57561235	"+"	"no_fusion-donor_local-intrachrom_plus_reg"	2	0	"-10"	0	8	0	"False"	5424	8	0	"0.0365858003633"	2	0	"0.585711589069"	0	0	"-"	0	0	"-"	0	0	0.0645279397141	"5:0"	"5:0"	0	0	164	164	"8"	"-2.53174451180047"	"0.0795201753285412"	"0.617000477200634"	"0.491"	"0.285"	8	-2.53174451180047	0.0795201753285412	0.617000477200634	0.463	0.295	0	0.0135970333745365
"chr1"	"CSDE1"	115268832	"-"	"chr1"	"CSDE1"	115262356	"-"	"no_fusion-donor_local-intrachrom_minus_rev"	4	0	"-12"	0	-7	0	"False"	24114	0	2	"-"	9	0	"0.802128747603"	0	0	"-"	0	0	"-"	0	0	0.802128747603	"3:0"	"6:0"	0	0	303	303	"5"	"-2.78300929181791"	"0.061852096028462"	"0.410351942713294"	"0.291"	"0.182"	5	-2.78300929181791	0.061852096028462	0.410351942713294	0.282	0.182	0	0.0222496909765142
"chr6"	"SH3BGRL2"	80406277	"+"	"chr6"	"RNY4"	80445450	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	59	0.0115131578947	"-10"	-5	-6186	0	"False"	45819	12	0	"0.359851337336"	31	0	"0.999844075422"	0	0	"-"	0	13	"-"	2	7	0.994101932685	"43:0"	"35:0"	0	0	38	0	"9"	"-1.06750745507892"	"0.34386454796078"	"0.750444288723123"	"0.591"	"0.464"	9	-1.06750745507892	0.34386454796078	0.750444288723123	0.567	0.437	0	0.00494437577255871
"chr22"	"ADORA2A"	24819599	"+"	"chr22"	"ADORA2A"	24829101	"+"	"no_fusion-acceptor_local-intrachrom_plus_reg"	6	0	"0"	-4115	2	0	"True"	31798	8	0	"0.393171499055"	0	0	"-"	0	0	"-"	0	0	"-"	0	0	0.393171499055	"6:0"	"2:0"	0	0	0	0	"2"	"-0.250269474867427"	"0.778590944108068"	"0.978267031841178"	"0.305"	"0.184"	2	-0.250269474867427	0.778590944108068	0.978267031841178	0.309	0.174	0	0.0210135970333745
"chr1"	"C1orf21"	184502129	"+"	"chr1"	"C1orf21"	184536296	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	3	0	"-10"	25313	-23577	0	"False"	26214	4	0	"0.669318027158"	1	0	"0.0681777140242"	0	0	"-"	0	0	"-"	0	0	0.501284789115	"3:0"	"2:0"	0	0	8	8	"2"	"-0.434963245298092"	"0.647288457535132"	"0.947285741569575"	"0.247"	"0.155"	2	-0.434963245298092	0.647288457535132	0.947285741569575	0.228	0.146	0	0.0271940667490729
"chr1"	"HOOK1"	60336777	"+"	"chr1"	"HOOK1"	60351371	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	40	0.0113421550095	"-10"	-5	12904	0	"False"	22860	12	0	"0.998881860242"	32	0	"0.999476709458"	0	0	"-"	0	0	"-"	0	2	0.999997489982	"25:0"	"21:0"	0	0	168	168	"6"	"-1.62392445873351"	"0.197123575770203"	"0.442977623816846"	"0.35"	"0.276"	6	-1.62392445873351	0.197123575770203	0.442977623816846	0.338	0.268	0	0.0185414091470952
"chr2"	"FASTKD2"	207652798	"+"	"chr2"	"FASTKD2"	207653541	"+"	"no_fusion-acceptor_local-intrachrom_plus_reg"	2	0	"-29"	-81	-2	0	"False"	35165	3	0	"0.000209323268863"	5	0	"0.00520248519888"	0	0	"-"	0	0	"-"	3	0	2.87578049725e-05	"6:0"	"5:0"	0	0	20	20	"8"	"-1.78279380408933"	"0.16816766284981"	"0.767037135756078"	"0.559"	"0.345"	8	-1.78279380408933	0.16816766284981	0.767037135756078	0.521	0.331	0	0.0111248454882571
"chr6"	"TRIM39"	30294662	"+"	"chr6"	"TRIM39"	30296693	"+"	"no_fusion-niether_local-intrachrom_plus_reg"	4	0	"-10"	-110	27	0	"False"	47088	4	0	"0.993205161477"	2	0	"0.191502218689"	0	0	"-"	0	0	"-"	1	0	0.966265549392	"5:0"	"2:0"	0	0	51	51	"2"	"-0.139337140985314"	"0.86993468837455"	"0.991388499866964"	"0.404"	"0.213"	2	-0.139337140985314	0.86993468837455	0.991388499866964	0.415	0.2	0	0.0173053152039555
